Algoma,-0.7,-0.2,-1.1,2.6,-2.5,-0.4
Brock,0.0,-0.8,-0.9,-0.3,-0.5,-0.5
Carleton,0.0,-0.4,0.6,0.7,-0.1,0.2
Guelph,-0.4,0.3,0.9,-0.9,0.7,0.1
Lakehead,-0.8,0.2,-0.4,-1.2,-1.1,-0.7
Laurentian,0.2,-0.4,-0.4,-0.2,-0.7,-0.3
McMaster,1.5,-0.7,-0.6,-0.1,1.2,0.3
Nipissing,-0.5,0.2,-0.6,-1.4,-0.6,-0.6
OCADU,-2.0,3.0,0.4,0.1,-0.3,0.4
Ottawa,0.2,0.0,2.4,-0.4,0.6,0.6
UOIT,-0.9,-0.5,-0.8,-0.3,-1.2,-0.7
Queen's,-0.4,0.6,1.8,-0.9,1.2,0.5
Ryerson,2.3,-0.2,-0.5,-0.9,0.8,0.3
Toronto,0.2,0.8,1.0,1.8,1.0,1.0
Trent,0.0,-0.9,-0.9,0.2,-0.7,-0.5
Waterloo,0.1,0.2,0.5,1.1,1.2,0.6
Western,1.7,-0.7,1.0,0.2,1.2,0.7
Laurier,1.0,-1.0,-0.8,-0.7,0.1,-0.3
Windsor,-0.5,-0.2,-0.9,0.3,-0.5,-0.4
York,-0.9,-0.1,-0.6,0.4,0.1,-0.2
