Algoma,1.0,2.4,-0.3,0.7,0.8,1.2,1.5,1.0
Brock,0.6,-0.5,-0.4,0.1,-0.5,0.3,-0.5,-0.1
Carleton,-0.5,0.0,-0.1,-0.5,-0.1,-0.3,-0.6,-0.3
Guelph,-0.9,-0.5,-0.4,-0.5,-0.5,-0.2,-0.4,-0.5
Lakehead,-0.1,1.8,-0.3,-0.6,0.4,1.1,0.9,0.4
Laurentian,2.7,2.3,2.2,-0.7,1.0,1.4,2.6,1.6
McMaster,-0.5,-0.4,-0.4,0.0,-0.3,-0.9,-0.8,-0.5
Nipissing,-0.7,0.8,-0.2,0.7,2.2,0.2,0.0,0.4
OCADU,-0.3,-0.3,-0.3,0.8,1.1,1.3,1.3,0.5
Ottawa,-0.8,-0.1,3.4,-1.2,-0.3,0.0,0.1,0.2
UOIT,2.4,-0.7,,1.0,-1.1,1.4,1.1,0.7
Queen's,-0.9,-0.6,-0.3,-2.6,-1.1,-0.8,-1.0,-1.1
Ryerson,0.3,-0.6,-0.4,1.8,2.0,-0.6,0.1,0.4
Toronto,-0.2,-0.6,-0.4,-0.4,-0.8,0.2,-0.5,-0.4
Trent,-0.7,-0.1,-0.4,1.2,0.0,0.2,0.2,0.1
Waterloo,-0.4,-0.8,-0.3,0.8,-1.4,-0.7,-1.0,-0.6
Western,-0.8,-0.5,-0.4,-0.9,-1.0,-0.1,-0.4,-0.6
Laurier,-0.3,-0.1,-0.4,-0.4,-0.5,-2.3,-1.0,-0.7
Windsor,-0.2,-0.6,-0.3,0.4,0.0,0.2,-0.6,-0.2
York,0.3,-0.8,-0.3,0.5,-0.1,-1.7,-1.0,-0.4
